iso_week,boxes,active1,active2,active3,active4,Forecast,,,,,,
2017-W01,27920,32732,38787,47750,56562,,,,,,,
2017-W02,42330,44555,52550,57355,63722,,,,,,,
2017-W03,43528,44778,50808,59822,64589,,,,,,,
2017-W04,41843,46565,50549,57114,64988,,,,,,,
2017-W05,40729,46250,53091,57687,61764,,,,,,,
2017-W06,43860,48952,57016,62728,65401,,,,,,,
2017-W07,38666,44551,53235,61285,65353,,,,,,,
2017-W08,40833,45869,52887,59487,64800,,,,,,,
2017-W09,38760,44396,52535,58884,62962,,,,,,,
2017-W10,41111,46985,54663,61834,66967,,,,,,,
2017-W11,39383,44818,53375,61429,67222,,,,,,,
2017-W12,40549,45122,52296,60924,66446,,,,,,,
2017-W13,39580,44579,50951,58121,64068,,,,,,,
2017-W14,38385,43127,51626,59827,65529,,,,,,,
2017-W15,37951,42947,50457,58953,64499,,,,,,,
2017-W16,34217,40589,49478,57674,64169,,,,,,,
2017-W17,40430,45233,51745,59350,64135,,,,,,,
2017-W18,42094,47975,55493,62205,66286,,,,,,,
2017-W19,44795,45793,55199,62400,67265,,,,,,,
2017-W20,46455,48387,50825,60869,66265,,,,,,,
2017-W21,46064,49608,54401,57030,64958,,,,,,,
2017-W22,40024,44666,53130,58175,60746,,,,,,,
2017-W23,46121,43188,58333,66644,70358,,,,,,,
2017-W24,45348,45619,55068,66250,72483,,,,,,,
2017-W25,42467,46036,52435,62990,71334,,,,,pred_mean,lower_int,upper_int
2017-W26,40164,44288,52134,59895,68608,,,,,24747,22212,27282
2017-W27,44127,46995,55908,63761,66691,,,,,42297,39353,45242
2017-W28,40950,44590,53787,62692,69262,,,,,54343,51381,57304
2017-W29,39288,42736,51337,60398,68196,,,,,58107,55145,61070
2017-W30,37546,41032,48752,57582,65461,,,,,58081,55003,61160
2017-W31,35832,39271,47558,56206,64460,,,,,60358,57240,63475
2017-W32,36492,39772,47788,56853,64302,,,,,58466,55346,61585
2017-W33,34752,37698,45923,54740,63039,,,,,53231,50112,56351
2017-W34,34435,37695,45248,53702,61090,,,,,54455,51336,57574
2017-W35,31012,35246,43766,53554,60405,,,,,57877,54757,60996
2017-W36,42103,46923,52963,60684,65081,,,,,56805,53686,59925
2017-W37,44591,45474,53085,59465,65738,,,,,57851,54731,60970
2017-W38,45232,47652,51042,58229,63892,,,,,,,
2017-W39,47152,50503,56009,59412,65325,,,,,,,
2017-W40,46544,49697,59252,66223,68611,,,,,,,
2017-W41,46168,50905,58205,67186,72814,,,,,,,
2017-W42,46756,49690,58457,66116,73759,,,,,,,
2017-W43,43374,47280,55215,65190,71715,,,,,,,
2017-W44,47800,51406,59198,65822,72508,,,,,,,
2017-W45,48686,55279,62444,71545,75537,,,,,,,
2017-W46,47306,51227,63440,70981,76171,,,,,,,
2017-W47,43753,47247,56995,70779,75305,,,,,,,
2017-W48,41729,45534,55684,65663,74756,,,,,,,
2017-W49,43742,47237,57184,67898,73931,,,,,,,
2017-W50,41313,44568,54675,65606,71540,,,,,,,
2017-W51,31408,34398,44792,56276,67149,,,,,,,
2017-W52,15309,18188,31528,48959,58860,,,,,,,
